xmin,xmax,ymin,ymax,zmin,zmax
108,140,74,162,29,140
98,132,120,151,31,132
100,141,52,163,25,141
100,135,113,146,26,135
98,134,118,150,31,134
106,138,75,147,26,138
107,135,113,147,25,135
97,155,34,164,22,155
115,153,53,132,26,153
97,153,34,163,22,153
99,151,51,122,32,151
99,151,29,145,25,151
91,150,32,152,23,150
89,149,37,151,28,149
96,151,29,149,23,151
96,150,55,139,26,150
98,139,115,147,26,139
102,149,54,137,23,149
106,145,41,138,24,145
101,145,56,120,29,145
120,154,56,134,29,154
93,154,33,163,28,154
109,153,52,129,30,153
107,154,40,163,29,154
90,153,41,152,31,153
89,150,35,175,34,150
93,154,37,178,25,154
100,153,51,140,29,153
90,149,71,150,34,149
100,152,40,162,27,152
114,152,79,143,28,152
102,148,52,136,35,148
117,153,66,123,44,153
115,152,80,111,64,152
114,152,66,148,56,152
109,152,61,118,65,152
112,152,63,135,47,152
115,149,68,125,47,149
105,153,63,139,42,153
99,153,37,163,34,153
26,153,32,143,40,153
87,153,26,179,37,153
91,153,32,179,31,153
93,152,51,144,37,152
91,152,71,152,40,152
99,153,47,148,32,153
105,153,71,149,33,153
101,152,32,128,49,152
110,150,49,147,55,150
93,142,62,113,72,142
93,149,48,135,53,149
93,137,62,119,64,137
93,138,32,164,53,138
87,138,38,164,49,138
95,149,50,177,45,149
96,140,51,138,43,140
92,120,133,150,51,120
98,140,41,163,37,140
66,138,59,186,51,138
65,138,32,187,53,138
65,143,49,131,65,143
97,143,39,129,38,143
60,115,92,110,56,115
89,138,42,186,45,138
92,136,82,163,65,136
70,114,140,180,49,114
89,138,42,154,41,138
90,122,80,135,40,122
96,143,52,178,34,143
89,133,74,177,46,133
98,143,39,163,29,143
108,136,67,136,31,136
56,131,52,115,56,131
97,140,69,134,37,140
109,139,117,132,31,139
90,136,74,143,36,136
102,145,74,136,29,145
